2022-05-11 08:59:09.390 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '72f64930-a83c-40f6-ae34-b03248697e35', 'shadow': None, 'eta': '2022-05-10T22:42:12.834905+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 1, 'timelimit': [None, None], 'root_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'parent_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen54878@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'reply_to': '96cb7fc2-45fe-3970-83a2-d59ade67d824', 'replaced_task_nesting': 0, 'origin': 'gen54915@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '585a7374-5867-483c-9eb2-457e9ac30879'}, 'reply_to': '96cb7fc2-45fe-3970-83a2-d59ade67d824', 'correlation_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:31.972 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:23:32.050 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:23:32.298 | tasks.py 93 | WARNING | 2
2022-05-12 11:23:32.299 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:23:32.321 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'shadow': None, 'eta': '2022-05-11T16:59:44.708297+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'parent_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95906@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'reply_to': '311748dc-7f71-3699-8614-2de96fd55ace', 'replaced_task_nesting': 0, 'origin': 'gen39498@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '62ec700e-0d59-4fea-a40b-b2444e1fe96f'}, 'reply_to': '311748dc-7f71-3699-8614-2de96fd55ace', 'correlation_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:32.322 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:32.322 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:32.324 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'shadow': None, 'eta': '2022-05-11T16:59:44.714305+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'parent_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95906@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'reply_to': '8b324485-2dcc-34e5-af6c-fb5d3dbcce3c', 'replaced_task_nesting': 0, 'origin': 'gen42089@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '29b19631-94b6-414b-a94a-191c11b6c87d'}, 'reply_to': '8b324485-2dcc-34e5-af6c-fb5d3dbcce3c', 'correlation_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:32.325 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:32.325 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:32.328 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'shadow': None, 'eta': '2022-05-11T16:59:44.725966+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'parent_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95906@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'reply_to': '0ebcd06a-5c6d-313e-92ba-9a7bcb3156f1', 'replaced_task_nesting': 0, 'origin': 'gen43580@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '1eaf02e5-5690-4245-a373-8df8ab0cb3f0'}, 'reply_to': '0ebcd06a-5c6d-313e-92ba-9a7bcb3156f1', 'correlation_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:32.328 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:32.329 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:32.428 | tasks.py 93 | WARNING | 2
2022-05-12 11:23:32.429 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:23:32.437 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'shadow': None, 'eta': '2022-05-11T16:59:45.039284+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'parent_id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95919@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'reply_to': '5c295640-968a-346e-97d2-f78b235aa3cb', 'replaced_task_nesting': 0, 'origin': 'gen43038@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'a455c3cb-6605-4bd9-bdd6-563f1cda4607'}, 'reply_to': '5c295640-968a-346e-97d2-f78b235aa3cb', 'correlation_id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:32.438 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:32.438 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:32.441 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'shadow': None, 'eta': '2022-05-11T16:59:45.050098+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'parent_id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95919@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'reply_to': 'ede5d1f9-9a65-3f3c-bf39-ea15e8007e99', 'replaced_task_nesting': 0, 'origin': 'gen43367@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '6bbe7e90-4fde-441e-81fc-1bb84d33b95c'}, 'reply_to': 'ede5d1f9-9a65-3f3c-bf39-ea15e8007e99', 'correlation_id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:32.442 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:32.442 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:32.556 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:23:32.571 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'shadow': None, 'eta': '2022-05-11T16:59:45.063802+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'parent_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95919@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'reply_to': 'f4696c54-ef0f-3ab2-a2cb-5821dd0349d7', 'replaced_task_nesting': 0, 'origin': 'gen45764@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'decc01ea-1e1a-43b8-8810-14ba7ef0f658'}, 'reply_to': 'f4696c54-ef0f-3ab2-a2cb-5821dd0349d7', 'correlation_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:32.572 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:32.573 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:33.041 | tasks.py 93 | WARNING | 2
2022-05-12 11:23:33.041 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:23:33.059 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '90db458b-eae7-4895-b801-231f5736eba7', 'shadow': None, 'eta': '2022-05-11T16:59:45.169292+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': '90db458b-eae7-4895-b801-231f5736eba7', 'parent_id': '90db458b-eae7-4895-b801-231f5736eba7', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95917@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '90db458b-eae7-4895-b801-231f5736eba7', 'reply_to': 'a9e03efc-5549-36c7-9b0d-40fddadb4bdd', 'replaced_task_nesting': 0, 'origin': 'gen46094@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'b08757de-47a6-449b-bff3-6aed623a8179'}, 'reply_to': 'a9e03efc-5549-36c7-9b0d-40fddadb4bdd', 'correlation_id': '90db458b-eae7-4895-b801-231f5736eba7', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:33.059 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:33.060 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:34.675 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:23:34.694 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '684c76b3-bb51-4c67-ad25-647a92211845', 'shadow': None, 'eta': '2022-05-11T16:59:45.307130+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'parent_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95918@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'reply_to': '3f4bf77d-0e3a-3494-a06e-fdeb9e0bd3c3', 'replaced_task_nesting': 0, 'origin': 'gen48657@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'f43ea26b-8ed2-4618-9025-cde63a0dfb47'}, 'reply_to': '3f4bf77d-0e3a-3494-a06e-fdeb9e0bd3c3', 'correlation_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:34.729 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:34.729 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:34.864 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '5282d847-82ec-4840-98c2-0969753f7972', 'shadow': None, 'eta': '2022-05-11T16:59:45.314705+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': '5282d847-82ec-4840-98c2-0969753f7972', 'parent_id': '5282d847-82ec-4840-98c2-0969753f7972', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95918@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '5282d847-82ec-4840-98c2-0969753f7972', 'reply_to': 'c3519a89-2750-3159-b3e8-e4573b569cf9', 'replaced_task_nesting': 0, 'origin': 'gen49452@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'e61ea443-55f3-4455-945b-19f07db9e748'}, 'reply_to': 'c3519a89-2750-3159-b3e8-e4573b569cf9', 'correlation_id': '5282d847-82ec-4840-98c2-0969753f7972', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:34.911 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:34.911 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:45.574 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:23:45.929 | tasks.py 93 | WARNING | 2
2022-05-12 11:23:45.930 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:23:45.945 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'shadow': None, 'eta': '2022-05-11T16:59:48.801002+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'parent_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95905@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'reply_to': '19b26f43-2c04-3594-84d9-0a228295fd1c', 'replaced_task_nesting': 0, 'origin': 'gen50106@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '282a53ad-411e-475e-b165-36036175c9ef'}, 'reply_to': '19b26f43-2c04-3594-84d9-0a228295fd1c', 'correlation_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:45.946 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:45.946 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:46.473 | tasks.py 93 | WARNING | 2
2022-05-12 11:23:46.473 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:23:47.008 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:23:47.265 | tasks.py 93 | WARNING | 2
2022-05-12 11:23:47.265 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:23:47.897 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:23:49.358 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:23:49.934 | tasks.py 93 | WARNING | 2
2022-05-12 11:23:49.935 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:24:00.023 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:24:00.302 | tasks.py 93 | WARNING | 2
2022-05-12 11:24:00.303 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:24:00.814 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:24:01.952 | tasks.py 124 | WARNING | ip信誉异常重试
