2022-05-12 11:23:16.988 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'shadow': None, 'eta': '2022-05-11T16:59:17.896609+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'parent_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95905@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'replaced_task_nesting': 0, 'origin': 'gen55191@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'df73d2c6-7b74-4627-b35e-61561092cd0d'}, 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:29.013 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'shadow': None, 'eta': '2022-05-12T19:23:38.573691+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'parent_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59639@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'reply_to': 'f4696c54-ef0f-3ab2-a2cb-5821dd0349d7', 'replaced_task_nesting': 0, 'origin': 'gen95919@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '3fc89cb4-ac3e-42f0-8dd1-b06633dece55'}, 'reply_to': 'f4696c54-ef0f-3ab2-a2cb-5821dd0349d7', 'correlation_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:29.014 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:29.015 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:29.556 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '90db458b-eae7-4895-b801-231f5736eba7', 'shadow': None, 'eta': '2022-05-12T19:23:39.060882+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': '90db458b-eae7-4895-b801-231f5736eba7', 'parent_id': '90db458b-eae7-4895-b801-231f5736eba7', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59637@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '90db458b-eae7-4895-b801-231f5736eba7', 'reply_to': 'a9e03efc-5549-36c7-9b0d-40fddadb4bdd', 'replaced_task_nesting': 0, 'origin': 'gen95917@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'cc42d8fb-3ee9-4f41-83cb-2fbb8bb8673d'}, 'reply_to': 'a9e03efc-5549-36c7-9b0d-40fddadb4bdd', 'correlation_id': '90db458b-eae7-4895-b801-231f5736eba7', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:29.556 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:29.557 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:30.204 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:30.205 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:31.350 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '5282d847-82ec-4840-98c2-0969753f7972', 'shadow': None, 'eta': '2022-05-12T19:23:40.918592+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': '5282d847-82ec-4840-98c2-0969753f7972', 'parent_id': '5282d847-82ec-4840-98c2-0969753f7972', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59631@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '5282d847-82ec-4840-98c2-0969753f7972', 'reply_to': 'c3519a89-2750-3159-b3e8-e4573b569cf9', 'replaced_task_nesting': 0, 'origin': 'gen95918@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '5b77a03c-16ee-4150-bf2b-f9b4705e0529'}, 'reply_to': 'c3519a89-2750-3159-b3e8-e4573b569cf9', 'correlation_id': '5282d847-82ec-4840-98c2-0969753f7972', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:31.351 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:31.350 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '684c76b3-bb51-4c67-ad25-647a92211845', 'shadow': None, 'eta': '2022-05-12T19:23:40.861522+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'parent_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59631@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'reply_to': '3f4bf77d-0e3a-3494-a06e-fdeb9e0bd3c3', 'replaced_task_nesting': 0, 'origin': 'gen95918@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '88e08783-014a-43d4-ba7a-059112d04fb5'}, 'reply_to': '3f4bf77d-0e3a-3494-a06e-fdeb9e0bd3c3', 'correlation_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:31.353 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:31.353 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:31.354 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:32.310 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-12 19:25:32.429 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:32.430 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:32.844 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:32.844 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:36.720 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-12 19:25:38.912 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:38.913 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:42.381 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'shadow': None, 'eta': '2022-05-12T19:23:51.947401+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'parent_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59635@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'reply_to': '19b26f43-2c04-3594-84d9-0a228295fd1c', 'replaced_task_nesting': 0, 'origin': 'gen95905@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '3d010592-c364-4d9a-9dd3-7aa3b96a0fc9'}, 'reply_to': '19b26f43-2c04-3594-84d9-0a228295fd1c', 'correlation_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:42.382 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:42.383 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:45.440 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-12 19:25:45.612 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:45.613 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:48.306 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:48.306 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:52.025 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-12 19:25:54.863 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:54.863 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:54.912 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:54.912 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:55.168 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-12 19:25:55.890 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-12 19:25:56.122 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-12 19:25:56.295 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:56.295 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:56.340 | tasks.py 126 | WARNING | ip信誉异常重试
