2022-05-10 13:15:14.360 | tasks.py 89 | WARNING | IP分析异常重试
2022-05-10 14:22:20.306 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '90db458b-eae7-4895-b801-231f5736eba7', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': '90db458b-eae7-4895-b801-231f5736eba7', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen46104@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': '90db458b-eae7-4895-b801-231f5736eba7', 'reply_to': 'a9e03efc-5549-36c7-9b0d-40fddadb4bdd', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '83ebab1a-bdd8-4be0-9270-8e60c1ebca2d'}, 'reply_to': 'a9e03efc-5549-36c7-9b0d-40fddadb4bdd', 'correlation_id': '90db458b-eae7-4895-b801-231f5736eba7', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:22:20.307 | tasks.py 21 | WARNING | 0
2022-05-10 14:22:20.308 | tasks.py 22 | WARNING | 异常重试
2022-05-10 14:28:00.155 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '684c76b3-bb51-4c67-ad25-647a92211845', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen48685@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'reply_to': '3f4bf77d-0e3a-3494-a06e-fdeb9e0bd3c3', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'c5188c49-9831-42a2-a2f1-a1a7c1da7960'}, 'reply_to': '3f4bf77d-0e3a-3494-a06e-fdeb9e0bd3c3', 'correlation_id': '684c76b3-bb51-4c67-ad25-647a92211845', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:28:00.156 | tasks.py 21 | WARNING | 0
2022-05-10 14:28:00.156 | tasks.py 22 | WARNING | 异常重试
2022-05-10 14:29:07.822 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'be76e185-74fc-4ab5-bd7c-2757681a6454', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': 'be76e185-74fc-4ab5-bd7c-2757681a6454', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen49206@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': 'be76e185-74fc-4ab5-bd7c-2757681a6454', 'reply_to': 'ac8ff61b-83a0-3e2b-b615-61019ed8673e', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'fd30a371-5da8-4b95-90fc-669da0b57f43'}, 'reply_to': 'ac8ff61b-83a0-3e2b-b615-61019ed8673e', 'correlation_id': 'be76e185-74fc-4ab5-bd7c-2757681a6454', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:29:07.824 | tasks.py 21 | WARNING | 0
2022-05-10 14:29:07.824 | tasks.py 23 | WARNING | 异常重试
2022-05-10 14:29:40.836 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '5282d847-82ec-4840-98c2-0969753f7972', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': '5282d847-82ec-4840-98c2-0969753f7972', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen49468@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': '5282d847-82ec-4840-98c2-0969753f7972', 'reply_to': 'c3519a89-2750-3159-b3e8-e4573b569cf9', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '88c3b5a0-e696-4182-983c-db3e2d31690b'}, 'reply_to': 'c3519a89-2750-3159-b3e8-e4573b569cf9', 'correlation_id': '5282d847-82ec-4840-98c2-0969753f7972', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:29:40.837 | tasks.py 21 | WARNING | 0
2022-05-10 14:29:40.838 | tasks.py 23 | WARNING | 异常重试
2022-05-10 14:30:59.062 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen50115@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'reply_to': '19b26f43-2c04-3594-84d9-0a228295fd1c', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'b4181c6f-7a7b-4a26-9581-2b9b3e0772be'}, 'reply_to': '19b26f43-2c04-3594-84d9-0a228295fd1c', 'correlation_id': '80ba8f57-0dad-47f2-bf42-d9f5e78aedf3', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:30:59.063 | tasks.py 21 | WARNING | 0
2022-05-10 14:30:59.064 | tasks.py 23 | WARNING | 异常重试
2022-05-10 14:42:06.830 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '72f64930-a83c-40f6-ae34-b03248697e35', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen54915@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'reply_to': '96cb7fc2-45fe-3970-83a2-d59ade67d824', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '6c80aa8d-ac67-40d6-9dd9-bcecc0ab4dab'}, 'reply_to': '96cb7fc2-45fe-3970-83a2-d59ade67d824', 'correlation_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:42:06.832 | tasks.py 21 | WARNING | 0
2022-05-10 14:42:06.833 | tasks.py 23 | WARNING | 异常重试
2022-05-10 14:42:38.380 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen55214@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '7100bde5-d0bf-4466-83eb-739f1f0664c1'}, 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:42:38.381 | tasks.py 21 | WARNING | 0
2022-05-10 14:42:38.382 | tasks.py 23 | WARNING | 异常重试
2022-05-10 14:44:34.211 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen56120@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'reply_to': 'd6010091-0930-3b0c-9966-d119fba60323', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '85cb9911-1b0b-4846-9eb6-0c3d87ff0aa4'}, 'reply_to': 'd6010091-0930-3b0c-9966-d119fba60323', 'correlation_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:44:34.213 | tasks.py 21 | WARNING | 0
2022-05-10 14:44:34.213 | tasks.py 23 | WARNING | 异常重试
2022-05-10 14:50:49.771 | tasks.py 94 | WARNING | 0
2022-05-10 14:50:49.781 | tasks.py 95 | WARNING | IP分析异常重试
2022-05-10 14:57:57.447 | tasks.py 92 | WARNING | 0
2022-05-10 14:57:57.448 | tasks.py 93 | WARNING | IP分析异常重试
2022-05-10 14:59:39.352 | tasks.py 122 | WARNING | ip信誉异常重试
2022-05-10 15:03:56.881 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-10 15:03:56.881 | tasks.py 93 | WARNING | 0
2022-05-10 15:03:56.882 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-10 15:06:26.927 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-10 15:07:43.409 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-10 15:11:53.794 | tasks.py 93 | WARNING | 0
2022-05-10 15:11:53.795 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-10 15:11:55.251 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-10 15:31:37.437 | tasks.py 93 | WARNING | 0
2022-05-10 15:31:37.438 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-10 15:31:39.592 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-11 08:59:11.894 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'shadow': None, 'eta': '2022-05-10T22:42:44.383340+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 1, 'timelimit': [None, None], 'root_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'parent_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen55191@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'replaced_task_nesting': 0, 'origin': 'gen55214@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'b2a1b3aa-87e1-4b34-a75a-0834e1539f24'}, 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-11 08:59:11.895 | tasks.py 22 | WARNING | 1
2022-05-11 08:59:11.896 | tasks.py 24 | WARNING | 异常重试
2022-05-11 08:59:11.905 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'shadow': None, 'eta': '2022-05-10T22:44:40.215139+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 1, 'timelimit': [None, None], 'root_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'parent_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen56094@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'reply_to': 'd6010091-0930-3b0c-9966-d119fba60323', 'replaced_task_nesting': 0, 'origin': 'gen56120@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'e5e2dee8-45a1-4174-b77f-f890ed1e18fc'}, 'reply_to': 'd6010091-0930-3b0c-9966-d119fba60323', 'correlation_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-11 08:59:11.906 | tasks.py 22 | WARNING | 1
2022-05-11 08:59:11.906 | tasks.py 24 | WARNING | 异常重试
2022-05-11 08:59:22.886 | tasks.py 93 | WARNING | 1
2022-05-11 08:59:22.887 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-11 08:59:23.122 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-11 08:59:23.173 | tasks.py 93 | WARNING | 1
2022-05-11 08:59:23.174 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-11 08:59:24.115 | tasks.py 93 | WARNING | 1
2022-05-11 08:59:24.115 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-11 08:59:24.282 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-11 08:59:24.502 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-11 08:59:24.536 | tasks.py 93 | WARNING | 1
2022-05-11 08:59:24.537 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-11 08:59:25.071 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-11 08:59:27.409 | tasks.py 93 | WARNING | 1
2022-05-11 08:59:27.410 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-11 08:59:37.673 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-11 08:59:38.126 | tasks.py 93 | WARNING | 1
2022-05-11 08:59:38.126 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-11 08:59:38.702 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-11 08:59:38.706 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'shadow': None, 'eta': '2022-05-10T22:11:34.304310+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 1, 'timelimit': [None, None], 'root_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'parent_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen39498@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'reply_to': '311748dc-7f71-3699-8614-2de96fd55ace', 'replaced_task_nesting': 0, 'origin': 'gen41233@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '61f928e9-a9c9-4067-8c28-b21e912bea4f'}, 'reply_to': '311748dc-7f71-3699-8614-2de96fd55ace', 'correlation_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-11 08:59:38.707 | tasks.py 22 | WARNING | 1
2022-05-11 08:59:38.707 | tasks.py 24 | WARNING | 异常重试
2022-05-11 08:59:38.712 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'shadow': None, 'eta': '2022-05-10T22:13:43.128515+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 1, 'timelimit': [None, None], 'root_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'parent_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen42089@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'reply_to': '8b324485-2dcc-34e5-af6c-fb5d3dbcce3c', 'replaced_task_nesting': 0, 'origin': 'gen42184@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'ed8b8b0f-7c28-4d66-92dc-7ed7b0dd564b'}, 'reply_to': '8b324485-2dcc-34e5-af6c-fb5d3dbcce3c', 'correlation_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-11 08:59:38.713 | tasks.py 22 | WARNING | 1
2022-05-11 08:59:38.713 | tasks.py 24 | WARNING | 异常重试
